Link Text,URL
Skip to content,#start-of-content
,/
Sign in,/login?return_to=https%3A%2F%2Fgithub.com%2FTheM1N9%2Fskypiea
GitHub CopilotWrite better code with AI,https://github.com/features/copilot
SecurityFind and fix vulnerabilities,https://github.com/features/security
ActionsAutomate any workflow,https://github.com/features/actions
CodespacesInstant dev environments,https://github.com/features/codespaces
IssuesPlan and track work,https://github.com/features/issues
Code ReviewManage code changes,https://github.com/features/code-review
DiscussionsCollaborate outside of code,https://github.com/features/discussions
"Code SearchFind more, search less",https://github.com/features/code-search
All features,https://github.com/features
Documentation,https://docs.github.com
GitHub Skills,https://skills.github.com
Blog,https://github.blog
Enterprises,https://github.com/enterprise
Small and medium teams,https://github.com/team
Startups,https://github.com/enterprise/startups
DevSecOps,/solutions/use-case/devsecops
DevOps,/solutions/use-case/devops
CI/CD,/solutions/use-case/ci-cd
View all use cases,/solutions/use-case
Healthcare,/solutions/industry/healthcare
Financial services,/solutions/industry/financial-services
Manufacturing,/solutions/industry/manufacturing
Government,/solutions/industry/government
View all industries,/solutions/industry
View all solutions,/solutions
AI,/resources/articles/ai
DevOps,/resources/articles/devops
Security,/resources/articles/security
Software Development,/resources/articles/software-development
View all,/resources/articles
Learning Pathways,https://resources.github.com/learn/pathways
"White papers, Ebooks, Webinars",https://resources.github.com
Customer Stories,https://github.com/customer-stories
Partners,https://partner.github.com
GitHub SponsorsFund open source developers,/sponsors
The ReadME ProjectGitHub community articles,https://github.com/readme
Topics,https://github.com/topics
Trending,https://github.com/trending
Collections,https://github.com/collections
Enterprise platformAI-powered developer platform,/enterprise
Advanced SecurityEnterprise-grade security features,https://github.com/enterprise/advanced-security
GitHub CopilotEnterprise-grade AI features,/features/copilot#enterprise
Premium SupportEnterprise-grade 24/7 support,/premium-support
Pricing,https://github.com/pricing
Search syntax tips,https://docs.github.com/search-github/github-code-search/understanding-github-code-search-syntax
documentation,https://docs.github.com/search-github/github-code-search/understanding-github-code-search-syntax
Sign in,/login?return_to=https%3A%2F%2Fgithub.com%2FTheM1N9%2Fskypiea
Sign up,/signup?ref_cta=Sign+up&ref_loc=header+logged+out&ref_page=%2F%3Cuser-name%3E%2F%3Crepo-name%3E&source=header-repo&source_repo=TheM1N9%2Fskypiea
Reload,
Reload,
Reload,
TheM1N9,/TheM1N9
skypiea,/TheM1N9/skypiea
Notifications,/login?return_to=%2FTheM1N9%2Fskypiea
Fork0,/login?return_to=%2FTheM1N9%2Fskypiea
Star1,/login?return_to=%2FTheM1N9%2Fskypiea
1star,/TheM1N9/skypiea/stargazers
0forks,/TheM1N9/skypiea/forks
Branches,/TheM1N9/skypiea/branches
Tags,/TheM1N9/skypiea/tags
Activity,/TheM1N9/skypiea/activity
Star,/login?return_to=%2FTheM1N9%2Fskypiea
Notifications,/login?return_to=%2FTheM1N9%2Fskypiea
Code,/TheM1N9/skypiea
Issues0,/TheM1N9/skypiea/issues
